Company,Ticker,Market Cap,Price,Country,Daily Change (%)
NVIDIA,NVDA,5402000000000.0,223.04,USA,
Alphabet (Google),GOOG,4681000000000.0,386.42,USA,
Apple,AAPL,4378999999999.9995,298.17,USA,
Microsoft,MSFT,3115000000000.0,419.36,USA,
Amazon,AMZN,2781000000000.0,258.61,USA,
TSMC,TSM,2053000000000.0,395.91,Taiwan,
Broadcom,AVGO,1956000000000.0,413.16,USA,
Saudi Aramco,2222.SR,1802000000000.0,7.45,Saudi Arabia,
Meta Platforms (Facebook),META,1529000000000.0,602.38,USA,
Tesla,TSLA,1514000000000.0,403.38,USA,
Samsung,005930.KS,1197000000000.0,182.38,S. Korea,
Walmart,WMT,1070000000000.0001,134.27,USA,
Berkshire Hathaway,BRK-B,1048000000000.0,486.36,USA,
Eli Lilly,LLY,901570000000.0,1011.0,USA,
SK Hynix,000660.KS,820010000000.0,1155.0,S. Korea,
Micron Technology,MU,810420000000.0,718.63,USA,
JPMorgan Chase,JPM,800070000000.0,298.59,USA,
None,,,,,
AMD,AMD,688680000000.0,422.35,USA,
Exxon Mobil,XOM,671640000000.0,162.04,USA,
Visa,V,630080000000.0,331.32,USA,
ASML,ASML,565880000000.0,1468.0,Netherlands,
Intel,INTC,560490000000.0,111.52,USA,
Johnson & Johnson,JNJ,551800000000.0,229.23,USA,
Tencent,TCEHY,528679999999.99994,58.51,China,
Oracle,ORCL,526570000000.00006,183.09,USA,
Costco,COST,483010000000.0,1089.0,USA,
Cisco,CSCO,463550000000.0,117.36,USA,
Mastercard,MA,443630000000.0,502.08,USA,
Caterpillar,CAT,397620000000.0,863.3,USA,
Chevron,CVX,391920000000.0,196.79,USA,
China Construction Bank,601939.SS,381680000000.0,1.46,China,
AbbVie,ABBV,379930000000.0,215.04,USA,
Netflix,NFLX,374710000000.0,88.99,USA,
Bank of America,BAC,362770000000.0,51.12,USA,
UnitedHealth,UNH,356050000000.0,392.06,USA,
Coca-Cola,KO,352970000000.0,82.04,USA,
Lam Research,LRCX,343760000000.0,274.89,USA,
Roche,RO.SW,341080000000.0,428.71,Switzerland,
Agricultural Bank of China,601288.SS,340420000000.0,0.97,China,
Procter & Gamble,PG,330190000000.0,141.8,USA,
Alibaba,BABA,325570000000.0,135.71,China,
Palantir,PLTR,325050000000.0,135.59,USA,
Applied Materials,AMAT,324180000000.0,408.5,USA,
ICBC,1398.HK,315340000000.0,0.88,China,
HSBC,HSBC,306300000000.0,89.31,UK,
Morgan Stanley,MS,303040000000.0,192.13,USA,
Home Depot,HD,300300000000.0,301.5,USA,
Philip Morris International,PM,300040000000.0,192.52,USA,
General Electric,GE,298520000000.0,285.72,USA,
AstraZeneca,AZN,287930000000.0,185.66,UK,
Novartis,NVS,287740000000.0,150.8,Switzerland,
CATL,300750.SZ,284090000000.0,61.41,China,
Merck,MRK,283040000000.0,114.6,USA,
Goldman Sachs,GS,276740000000.0,938.09,USA,
Texas Instruments,TXN,276540000000.0,303.86,USA,
Bank of China,601988.SS,276010000000.0,0.86,China,
GE Vernova,GEV,272610000000.0,1014.0,USA,
LVMH,MC.PA,265110000000.0,536.58,France,
Nestlé,NESN.SW,260360000000.0,101.22,Switzerland,
PetroChina,0857.HK,259839999999.99997,1.42,China,
Royal Bank Of Canada,RY,257000000000.0,184.83,Canada,
Shell,SHEL,246000000000.0,88.38,UK,
Kweichow Moutai,600519.SS,243660000000.0,194.58,China,
Toyota,TM,242920000000.0,186.39,Japan,
China Mobile,0941.HK,239870000000.0,11.08,China,
Arm Holdings,ARM,238520000000.0,224.18,UK,
RTX,RTX,238090000000.0,176.8,USA,
Linde,LIN,235070000000.0,508.44,UK,
International Holding Company,IHC.AE,233550000000.0,106.47,UAE,
Wells Fargo,WFC,229450000000.0,74.98,USA,
KLA,KLAC,228850000000.0,1752.0,USA,
Siemens,SIE.DE,227490000000.0,298.26,Germany,
Mitsubishi UFJ Financial,MUFG,221740000000.0,19.64,Japan,
L'Oréal,OR.PA,221440000000.0,414.87,France,
SAP,SAP,212190000000.0,179.98,Germany,
None,,,,,
American Express,AXP,211860000000.0,310.51,USA,
IBM,IBM,210050000000.0,223.48,USA,
QUALCOMM,QCOM,209840000000.0,199.09,USA,
BHP Group,BHP,209240000000.0,82.37,Australia,
T-Mobile US,TMUS,208970000000.0,193.1,USA,
TotalEnergies,TTE,206740000000.0,92.94,France,
Citigroup,C,206400000000.0,121.02,USA,
Analog Devices,ADI,204890000000.0,419.7,USA,
Pepsico,PEP,204820000000.0,149.84,USA,
Prosus,PRX.AS,204210000000.0,46.74,Netherlands,
Sandisk,SNDK,203720000000.0,1376.0,USA,
McDonald,MCD,201070000000.0,283.01,USA,
Foxconn Industrial Internet,601138.SS,199900000000.0,10.07,China,
Verizon,VZ,198500000000.0,47.54,USA,
Novo Nordisk,NVO,198030000000.0,44.68,Denmark,
Palo Alto Networks,PANW,196750000000.0,242.6,USA,
Hermès,RMS.PA,195600000000.0,1866.0,France,
Commonwealth Bank,CBA.AX,193620000000.0,115.8,Australia,
SoftBank Group Corp.,9984.T,192050000000.0,33.7,Japan,
Nextera Energy,NEE,187730000000.0,90.02,USA,
Reliance Industries,RELIANCE.NS,185440000000.0,13.7,India,
ABB,ABBN.SW,183250000000.0,100.94,Switzerland,
Toronto Dominion Bank,TD,182110000000.0,108.62,Canada,
Inditex,ITX.MC,180220000000.0,57.86,Spain,
Amgen,AMGN,179020000000.0,331.52,USA,
